skill_id,domain,skill_name,difficulty,risk_level,phases,keywords,description,file_path
app_development/backend_development,app_development,Backend Development,Medium,R1,"Discovery, Design, Build","apis,app,app_development,authentic,backend,build,databases,development,django,fastapi,frameworks,graphql,grpc,modern,mongodb,nestjs,node,postgresql,python,redis,rest,robust,rust,systems,technologies","> Build robust backend systems with modern technologies (Node.js, Python, Go, Rust), frameworks (NestJS, FastAPI, Django), databases (PostgreSQL, MongoDB, Redis), APIs (REST, GraphQL, gRPC), authentic",app_development/backend_development.skill.md
app_development/07_cli_tool_spec,app_development,CLI Tool Spec,Medium,R1,"Discovery, Design, Build","add,app,app_development,chính,cli,commands,config,development,done,list,search,spec,tool","| Commands | Các commands chính | ✅ | ""add, list, done, search, config"" |",app_development/07_cli_tool_spec.skill.md
app_development/ccxt_php,app_development,Ccxt Php,Medium,R1,"Discovery, Design, Build","api,app,app_development,ccxt,connect,covers,cryptocurrency,data,developers,development,exchange,exchanges,fetch,helps,install,library,market,orders,php,place,real,rest,standard,str,time,websocket","> CCXT cryptocurrency exchange library for PHP developers. Covers both REST API (standard) and WebSocket API (real-time). Helps install CCXT, connect to exchanges, fetch market data, place orders, str",app_development/ccxt_php.skill.md
app_development/component_refactoring,app_development,Component Refactoring,Medium,R1,"Discovery, Design, Build","analyze,app,app_development,asks,code,complexity,component,components,development,dify,extraction,frontend,high,hook,json,linecount,pnpm,react,refactor,refactoring,shows,splitting,use,user","> Refactor high-complexity React components in Dify frontend. Use when `pnpm analyze-component --json` shows complexity > 50 or lineCount > 300, when the user asks for code splitting, hook extraction,",app_development/component_refactoring.skill.md
app_development/create_database_migration,app_development,Create Databa E Migration,Medium,R1,"Discovery, Design, Build","add,app,app_development,change,columns,create,databa,database,development,existing,ghost,migration,mysql,otherwise,schema,setting,table","> Create a database migration to add a table, add columns to an existing table, add a setting, or otherwise change the schema of Ghost's MySQL database.",app_development/create_database_migration.skill.md
app_development/data_context_extractor,app_development,Data Context Extractor,Medium,R1,"Discovery, Design, Build","analysis,analysts,app,app_development,bootstrap,company,context,create,data,development,extracting,extractor,generate,improve,knowledge,mode,set,skill,specific,tribal,triggers,wareh","> Generate or improve a company-specific data analysis skill by extracting tribal knowledge from analysts. BOOTSTRAP MODE - Triggers: ""Create a data context skill"", ""Set up data analysis for our wareh",app_development/data_context_extractor.skill.md
app_development/04_database_schema_design,app_development,Database Schema Design,Medium,R1,"Discovery, Design, Build","app,app_development,database,design,development,schema",|-------|-----------|------|---------|,app_development/04_database_schema_design.skill.md
app_development/06_desktop_app_spec,app_development,Desktop App Spec,Medium,R1,"Discovery, Design, Build","app,app_development,application,desktop,development,dựng,linux,macos,spec,windows,xây",Xây dựng desktop application (Windows/macOS/Linux),app_development/06_desktop_app_spec.skill.md
app_development/dev_browser,app_development,Dev Browser,Medium,R1,"Discovery, Design, Build","app,app_development,apps,ask,automate,automation,browser,data,dev,development,extract,fill,forms,navigate,page,persistent,phrases,screenshots,state,take,test,trigger,use,users,web,websites,workflows","> Browser automation with persistent page state. Use when users ask to navigate websites, fill forms, take screenshots, extract web data, test web apps, or automate browser workflows. Trigger phrases ",app_development/dev_browser.skill.md
app_development/devops_troubleshooter,app_development,Devops Troubleshooter,Medium,R1,"Discovery, Design, Build","advanced,analysis,app,app_development,debugging,development,devops,distributed,expert,incident,kubernetes,log,masters,modern,observability,optim,performance,rapid,response,specializing,tracing,troubleshooter","> Expert DevOps troubleshooter specializing in rapid incident response, advanced debugging, and modern observability. Masters log analysis, distributed tracing, Kubernetes debugging, performance optim",app_development/devops_troubleshooter.skill.md
app_development/dyadmulti_pr_review,app_development,Dyadmulti Pr Review,Medium,R1,"Discovery, Design, Build","agent,agents,app,app_development,bias,claude,code,development,different,diffs,dyadmulti,files,focuses,independent,multi,one,order,ordering,randomized,receives,reduce,review,spawns,sub,system,three",> Multi-agent code review system that spawns three independent Claude sub-agents to review PR diffs. Each agent receives files in different randomized order to reduce ordering bias. One agent focuses ,app_development/dyadmulti_pr_review.skill.md
app_development/dynamic,app_development,Dynamic,Medium,R1,"Discovery, Design, Build","api,app,app_development,apps,authentication,baas,bkend,covers,data,development,dynamic,fullstack,init,initialization,integration,platform,project,skill,storage,using,web","> Fullstack development skill using bkend.ai BaaS platform. Covers authentication, data storage, API integration for dynamic web apps.  Project initialization with ""init dynamic"" or ""dynamic init"".  U",app_development/dynamic.skill.md
app_development/frontend_design,app_development,Frontend Design,Medium,R1,"Discovery, Design, Build","app,app_development,applications,artifacts,asks,build,components,create,design,development,distinctive,examples,frontend,grade,high,inc,interfaces,pages,posters,production,quality,skill,use,user,web","> Create distinctive, production-grade frontend interfaces with high design quality. Use this skill when the user asks to build web components, pages, artifacts, posters, or applications (examples inc",app_development/frontend_design.skill.md
app_development/frontend_responsive_design_standards,app_development,Frontend Responsive Design Standards,Medium,R1,"Discovery, Design, Build","across,app,app_development,build,containers,creating,design,development,first,flexible,fluid,friendly,frontend,layouts,media,mobile,modifying,queries,responsive,screen,sizes,skill,standards,touch,units,use,using,works","> Build responsive, mobile-first layouts using fluid containers, flexible units, media queries, and touch-friendly design that works across all screen sizes. Use this skill when creating or modifying ",app_development/frontend_responsive_design_standards.skill.md
app_development/hugging_face_model_trainer,app_development,Hugging Face Model Trainer,Medium,R1,"Discovery, Design, Build","app,app_development,covers,development,dpo,face,fine,grpo,hugging,infrastructure,jobs,language,learning,model,models,reinforcement,reward,sft,skill,train,trainer,transformer,trl,tune,used,users,using,want","> This skill should be used when users want to train or fine-tune language models using TRL (Transformer Reinforcement Learning) on Hugging Face Jobs infrastructure. Covers SFT, DPO, GRPO and reward m",app_development/hugging_face_model_trainer.skill.md
app_development/industry_ui_reasoning,app_development,Industry UI Reasoning,Medium,R1,"Discovery, Design","anti,app,app_development,color,design,development,dựa,effects,industry,mood,ngành,output,pattern,patterns,reasoning,recommendations,recommended,rules,specific,style,system,tránh,trên,typography","Cho một ngành cụ thể, output design system recommendations: recommended pattern, style, color mood, typography, effects, và anti-patterns cần tránh. Dựa trên 100 industry-specific reasoning rules.",app_development/industry_ui_reasoning.skill.md
app_development/lazyllm_skill,app_development,Lazyllm Skill,Medium,R1,"Discovery, Design, Build","agent,app,app_development,applications,branching,building,complex,data,development,flow,framework,lazyllm,linear,loop,mentioned,multi,orchestration,parallel,program,skill,task,use,workflows","> LazyLLM framework for building multi-agent AI applications. Use when task mentioned LazyLLM or AI program for: (1) Flow orchestration - linear, branching, parallel, loop workflows for complex data p",app_development/lazyllm_skill.skill.md
app_development/litestream,app_development,Litestream,Medium,R1,"Discovery, Design, Build","app,app_development,architectural,code,contributing,critical,debugging,development,disaster,expert,knowledge,litestream,patterns,procedures,provides,recovery,rules,sqlite,standalone,tool,understanding,wal","> Expert knowledge for contributing to Litestream, a standalone disaster recovery tool for SQLite. Provides architectural understanding, code patterns, critical rules, and debugging procedures for WAL",app_development/litestream.skill.md
app_development/08_local_deployment,app_development,Local Deployment Spec,Medium,R1,"Discovery, Design, Build","app,app_development,build,deployment,development,distribute,gói,local,spec,xong,đóng","App đã build xong, cần đóng gói để distribute",app_development/08_local_deployment.skill.md
app_development/mermaid_diagrams,app_development,Mermaid Diagrams,Medium,R1,"Discovery, Design, Build","app,app_development,class,comprehensive,create,creating,development,diagrams,document,domain,guide,including,mermaid,modeling,need,software,syntax,through,use,users,using,visualize","> Comprehensive guide for creating software diagrams using Mermaid syntax. Use when users need to create, visualize, or document software through diagrams including class diagrams (domain modeling, ob",app_development/mermaid_diagrams.skill.md
app_development/moai_domain_backend,app_development,Moai Domain Backend,Medium,R1,"Discovery, Design, Build","api,app,app_development,architecture,asks,backend,covering,database,design,development,domain,endpoints,graphql,integration,microservices,moai,modern,patterns,rest,ser,specialist,use,user","> Backend development specialist covering API design, database integration, microservices architecture, and modern backend patterns. Use when user asks about API design, REST or GraphQL endpoints, ser",app_development/moai_domain_backend.skill.md
app_development/mobile_framework_ui_guide,app_development,Mobile Framework UI Guide,Medium,R1,"Discovery, Design, Build","app,app_development,best,components,compose,cung,cấp,development,dẫn,flutter,framework,guide,hướng,jetpack,management,mobile,native,navigation,patterns,practices,react,state,swiftui,theming","Cung cấp hướng dẫn UI best practices theo framework cụ thể: SwiftUI, React Native, Flutter, hoặc Jetpack Compose. Bao gồm components, state management, navigation patterns, và theming.",app_development/mobile_framework_ui_guide.skill.md
app_development/onchainkit,app_development,Onchainkit,Medium,R1,"Discovery, Design, Build","app,app_development,applications,build,coinbase,components,create,crypto,development,display,mint,nfts,onchain,onchainkit,payments,react,swap,tokens,typescript,use,users,utilities,wallets,want","> Build onchain applications with React components and TypeScript utilities from Coinbase's OnchainKit. Use when users want to create crypto wallets, swap tokens, mint NFTs, build payments, display bl",app_development/onchainkit.skill.md
app_development/penpot_uiux_design,app_development,Penpot Uiux De Ign,Medium,R1,"Discovery, Design, Build","app,app_development,applications,building,comprehensive,creating,desi,designs,desktop,development,guide,ign,mcp,mobile,new,penpot,professional,skill,tools,uiux,use,using,web","> Comprehensive guide for creating professional UI/UX designs in Penpot using MCP tools. Use this skill when: (1) Creating new UI/UX designs for web, mobile, or desktop applications, (2) Building desi",app_development/penpot_uiux_design.skill.md
app_development/perf_optimizer,app_development,Perf Optimizer,Medium,R1,"Discovery, Design, Build","app,app_development,debugging,development,fixing,functioncal,ios,like,metrics,mobile,onekey,optimization,optimizer,perf,performance,regression,regressions,systematic,tokensspanms,tokensstartms,use","> Systematic performance optimization and regression debugging for OneKey mobile app (iOS). Use when: (1) Fixing performance regressions - when metrics like tokensStartMs, tokensSpanMs, or functionCal",app_development/perf_optimizer.skill.md
app_development/performance_optimization,app_development,Performance Optimization,Medium,R1,"Discovery, Design, Build","algorithmic,allocations,api,app,app_development,apply,bulk,cache,code,design,development,estimation,fast,fewer,friendly,layout,memory,optimization,paths,performance,profiling,python,rust,systematic,techniques,wins","> Apply systematic performance optimization techniques for Python and Rust code: estimation + profiling, API/bulk design, algorithmic wins, cache-friendly memory layout, fewer allocations, fast paths,",app_development/performance_optimization.skill.md
app_development/playwriter,app_development,Playwriter,Medium,R1,"Discovery, Design, Build","acc,app,app_development,automate,browser,chrome,cli,code,control,development,extension,inspect,interactions,local,playwright,playwriter,sandbox,screenshots,snippets,stateful,take,user,via,web","> Control the user own Chrome browser via Playwriter extension with Playwright code snippets in a stateful local js sandbox via playwriter cli. Automate web interactions, take screenshots, inspect acc",app_development/playwriter.skill.md
app_development/prototype_prompt_generator,app_development,Prototype Prompt Generator,Medium,R1,"Discovery, Design, Build","app,app_development,create,creating,design,detailed,development,generate,generator,help,mobile,need,prompt,prompts,prototype,prototypes,request,skill,structured,trigger,used,users","> This skill should be used when users need to generate detailed, structured prompts for creating UI/UX prototypes. Trigger when users request help with ""create a prototype prompt"", ""design a mobile a",app_development/prototype_prompt_generator.skill.md
app_development/refly,app_development,Refly,Medium,R1,"Discovery, Design, Build","app,app_development,backen,base,bound,creates,delegates,development,discovers,domain,ecosystem,execution,intent,matching,refly,routes,runs,skill,skills,specific,symlinks,user,via,workflows","> Base skill for Refly ecosystem: creates, discovers, and runs domain-specific skills bound to workflows. Routes user intent to matching domain skills via symlinks, delegates execution to Refly backen",app_development/refly.skill.md
app_development/setup_timescaledb_hypertables,app_development,Setup Timescaledb Hypertables,Medium,R1,"Discovery, Design, Build","app,app_development,cloud,creating,data,database,development,especially,events,hypertables,improve,iot,log,metrics,schemas,series,setup,skill,tables,tiger,tigerdata,time,timescale,timescaledb,use","> Use this skill when creating database schemas or tables for Timescale, TimescaleDB, TigerData, or Tiger Cloud, especially for time-series, IoT, metrics, events, or log data. Use this to improve the ",app_development/setup_timescaledb_hypertables.skill.md
app_development/smart_docs,app_development,Smart Docs,Medium,R1,"Discovery, Design, Build","analyzes,app,app_development,architecture,codebase,comprehensive,creates,development,diagrams,docs,documentation,generates,generator,identifies,model,patterns,powered,professional,project,smart,structure,technical","> AI-powered comprehensive codebase documentation generator. Analyzes project structure, identifies architecture patterns, creates C4 model diagrams, and generates professional technical documentation",app_development/smart_docs.skill.md
app_development/sysadmin_toolbox,app_development,Sysadmin Toolbox,Medium,R1,"Discovery, Design, Build","analyzing,app,app_development,auto,consult,debugging,development,devops,discovery,issues,liner,logs,network,one,processes,reference,security,shell,skill,sysadmin,tasks,tool,toolbox,troubleshooting,user","> Tool discovery and shell one-liner reference for sysadmin, DevOps, and security tasks. AUTO-CONSULT this skill when the user is: troubleshooting network issues, debugging processes, analyzing logs, ",app_development/sysadmin_toolbox.skill.md
app_development/02_tech_stack_selection,app_development,Tech Stack Selection,Medium,R1,"Discovery, Design, Build","app,app_development,chọn,công,development,nghệ,requirements,selection,stack,tech","Đã có requirements, cần chọn công nghệ",app_development/02_tech_stack_selection.skill.md
app_development/tidb_test_guidelines,app_development,Tidb Test Guidelines,Medium,R1,"Discovery, Design, Build","app,app_development,asked,basic,casetest,categorizatio,conventions,count,decide,development,guidelines,limits,locations,naming,place,shard,structure,test,testdata,tests,them,tidb,usage,use,write,writing","> Decide where to place TiDB tests and how to write them (basic structure, naming, testdata usage). Use when asked about test locations, writing conventions, shard_count limits, casetest categorizatio",app_development/tidb_test_guidelines.skill.md
app_development/ui_pre_delivery_checklist,app_development,UI Pre-Delivery Checklist,Easy,R1,"Build, Review, Deploy","accessibility,app,app_development,checklist,code,cuối,cùng,dark,delivery,development,interaction,kiểm,layout,light,mode,pre,quality,responsiveness,ship,tra,validates,visual","Checklist kiểm tra cuối cùng trước khi ship UI code. Validates visual quality, interaction, dark/light mode, layout responsiveness, và accessibility.",app_development/ui_pre_delivery_checklist.skill.md
app_development/ui_ux_pro_max,app_development,Ui Ux Pro Max,Medium,R1,"Discovery, Design, Build","actions,app,app_development,build,charts,cre,design,development,flutter,font,intelligence,max,native,next,pairings,palettes,plan,pro,react,shadcn,stacks,styles,svelte,swiftui,tailwind,vue","> UI/UX design intelligence. 50 styles, 21 palettes, 50 font pairings, 20 charts, 9 stacks (React, Next.js, Vue, Svelte, SwiftUI, React Native, Flutter, Tailwind, shadcn/ui). Actions: plan, build, cre",app_development/ui_ux_pro_max.skill.md
app_development/update_docs,app_development,Update Docs,Medium,R1,"Discovery, Design, Build","app,app_development,asks,changes,check,code,development,docs,documentation,feature,need,scaffold,skill,sync,update,updating,used,user","> This skill should be used when the user asks to ""update documentation for my changes"", ""check docs for this PR"", ""what docs need updating"", ""sync docs with code"", ""scaffold docs for this feature"", """,app_development/update_docs.skill.md
business_analysis/business_competitor_analysis,business_analysis,Business Competitor Analysis,Easy,R1,Discovery,"analysis,any,business,business_analysis,competitor,comprehensive,customer,executive,features,markdown,market,model,perform,positioning,pricing,produces,product,profile,report,summary,target","> Perform comprehensive competitor analysis for any business. Produces an executive-summary markdown report with target customer profile, market positioning, pricing/business model, product features, ",business_analysis/business_competitor_analysis.skill.md
business_analysis/business_plan,business_analysis,Business Plan,Easy,R1,Discovery,"analysis,business,business_analysis,creating,existing,investo,new,phase,pivot,plan,preparing,scratch,share,solopreneur,structure,update,updating,use,write","> Write, structure, and update a business plan for a solopreneur. Use when creating a plan from scratch, updating an existing plan after a pivot or new phase, or preparing a plan to share with investo",business_analysis/business_plan.skill.md
business_analysis/excel_report_generator,business_analysis,Excel Report Generator,Easy,R1,Discovery,"analysis,automatically,based,business,business_analysis,csv,data,databases,excel,export,generate,generator,including,python,report,reports,sources,structures,supports,template","> Automatically generate Excel reports from data sources including CSV, databases, or Python data structures. Supports data analysis reports, business reports, data export, and template-based report g",business_analysis/excel_report_generator.skill.md
business_analysis/03_market_research,business_analysis,Market Research,Medium,R1,Discovery,"analysis,business,business_analysis,cứu,market,mới,nghiên,research,thị,trường",Nghiên cứu thị trường mới,business_analysis/03_market_research.skill.md
business_analysis/02_risk_assessment,business_analysis,Risk Assessment,Advanced,R1,Discovery,"analysis,assessment,business,business_analysis,giá,lớn,quyết,risk,rủi,đánh,định",Đánh giá rủi ro trước khi ra quyết định lớn,business_analysis/02_risk_assessment.skill.md
business_analysis/01_strategy_analysis,business_analysis,Strategy Analysis,Medium,R1,Discovery,"analysis,business,business_analysis,doanh,kinh,phương,strategy,sánh",So sánh các phương án kinh doanh,business_analysis/01_strategy_analysis.skill.md
content_creation/doc_coauthoring,content_creation,Doc Coauthoring,Easy,R0,"Discovery, Design","authoring,coauthoring,content,content_creation,creation,decision,doc,docs,documentation,guide,proposals,similar,specs,structured,technical,through,use,user,users,wants,workflow,write","> Guide users through a structured workflow for co-authoring documentation. Use when user wants to write documentation, proposals, technical specs, decision docs, or similar structured content. This w",content_creation/doc_coauthoring.skill.md
content_creation/01_documentation,content_creation,Documentation,Easy,R0,"Discovery, Design","content,content_creation,creation,documentation,read",Who should read this,content_creation/01_documentation.skill.md
content_creation/03_presentation,content_creation,Presentation,Easy,R0,"Discovery, Design","content,content_creation,creation,deck,investors,pitch,presentation",Pitch deck cho investors,content_creation/03_presentation.skill.md
content_creation/02_report_writing,content_creation,Report Writing,Medium,R0,"Discovery, Design","báo,content,content_creation,creation,cáo,doanh,kinh,report,writing,định",Báo cáo kinh doanh định kỳ,content_creation/02_report_writing.skill.md
finance_analytics/01_budget_analysis,finance_analytics,Budget Analysis,Easy,R2,"Discovery, Review","analysis,analytics,ban,budget,finance,finance_analytics,ngân,phòng,review,sách",Review ngân sách dự án hoặc phòng ban,finance_analytics/01_budget_analysis.skill.md
finance_analytics/05_cash_flow_analysis,finance_analytics,Cash Flow Analysis,Medium,R2,"Discovery, Review","analysis,analytics,cash,doanh,dòng,finance,finance_analytics,flow,giá,hình,nghiệp,tiền,tình,đánh",Đánh giá tình hình dòng tiền doanh nghiệp,finance_analytics/05_cash_flow_analysis.skill.md
finance_analytics/finance_manager,finance_analytics,Finance Manager,Advanced,R2,"Discovery, Review","actionable,analytics,analyzing,comprehensive,creating,data,finance,finance_analytics,financial,generating,insights,management,manager,need,personal,providing,recommendations,system,transaction,use,users,visualizations","> Comprehensive personal finance management system for analyzing transaction data, generating insights, creating visualizations, and providing actionable financial recommendations. Use when users need",finance_analytics/finance_manager.skill.md
finance_analytics/07_financial_risk_assessment,finance_analytics,Financial Risk Assessment,Medium,R2,"Discovery, Review","analytics,assessment,chính,doanh,finance,finance_analytics,financial,giá,nghiệp,risk,rủi,tài,tổng,đánh",Đánh giá rủi ro tài chính tổng thể của doanh nghiệp,finance_analytics/07_financial_risk_assessment.skill.md
finance_analytics/02_financial_statement_review,finance_analytics,Financial Statement Review,Medium,R2,"Discovery, Review","analytics,chính,công,finance,finance_analytics,financial,giá,khỏe,review,statement,sức,tài,đánh",Đánh giá sức khỏe tài chính công ty,finance_analytics/02_financial_statement_review.skill.md
finance_analytics/06_investment_due_diligence,finance_analytics,Investment Due Diligence,Advanced,R2,"Discovery, Review","analytics,diligence,due,estate,finance,finance_analytics,giá,hội,investment,real,venture,đánh,đầu","Đánh giá cơ hội đầu tư (M&A, venture, real estate)",finance_analytics/06_investment_due_diligence.skill.md
finance_analytics/04_kpi_dashboard_audit,finance_analytics,KPI Dashboard Audit,Medium,R2,"Discovery, Review","analytics,audit,dashboard,executive,finance,finance_analytics,kpi,overview",[ ] Executive Overview,finance_analytics/04_kpi_dashboard_audit.skill.md
finance_analytics/montecarlo,finance_analytics,Montecarlo,Advanced,R2,"Discovery, Review","analysis,analytics,carlo,finance,finance_analytics,guru,income,margin,mentions,monte,montecarlo,portfolio,probability,projections,run,simulation,simulations,strategy,stress,test,use,user",> Run Monte Carlo simulations for Finance Guru portfolio strategy. USE WHEN user mentions monte carlo OR run simulation OR stress test portfolio OR probability analysis OR income projections OR margin,finance_analytics/montecarlo.skill.md
finance_analytics/03_roi_calculator_review,finance_analytics,ROI Calculator Review,Easy,R2,"Discovery, Review","analytics,calculator,finance,finance_analytics,giá,review,roi,đánh,đầu",Đánh giá ROI của một dự án hoặc đầu tư,finance_analytics/03_roi_calculator_review.skill.md
finance_analytics/08_revenue_forecast_review,finance_analytics,Revenue Forecast Review,Medium,R2,"Discovery, Review","analytics,báo,doanh,finance,finance_analytics,forecast,hàng,năm,quý,revenue,review,thu",Review dự báo doanh thu hàng quý/năm,finance_analytics/08_revenue_forecast_review.skill.md
hr_operations/02_interview_evaluation,hr_operations,Interview Evaluation,Medium,R2,"Discovery, Review","evaluation,giá,hr,hr_operations,hợp,interview,operations,phỏng,tổng,viên,vấn,đánh,ứng","Sau khi phỏng vấn ứng viên, cần đánh giá tổng hợp",hr_operations/02_interview_evaluation.skill.md
hr_operations/01_job_description,hr_operations,Job Description,Easy,R2,"Discovery, Review","description,hr,hr_operations,job,mới,operations,trí,tạo",Tạo JD cho vị trí mới,hr_operations/01_job_description.skill.md
hr_operations/04_onboarding_checklist,hr_operations,Onboarding Checklist,Easy,R2,"Discovery, Review","checklist,hr,hr_operations,join,mới,nhân,onboarding,operations,viên",Có nhân viên mới join,hr_operations/04_onboarding_checklist.skill.md
hr_operations/03_performance_review,hr_operations,Performance Review,Medium,R2,"Discovery, Review","annually,giá,hiệu,hr,hr_operations,operations,performance,quarterly,review,suất,đánh,định",Đánh giá hiệu suất định kỳ (quarterly/annually),hr_operations/03_performance_review.skill.md
hr_operations/05_policy_documentation,hr_operations,Policy Documentation,Medium,R2,"Discovery, Review","documentation,hr,hr_operations,numbers,operations,policy,rules,specific",✅ Specific rules với numbers,hr_operations/05_policy_documentation.skill.md
legal_contracts/04_compliance_checklist,legal_contracts,Compliance Checklist,Medium,R2,"Discovery, Review","checklist,compliance,contracts,launch,legal,legal_contracts,mới,phẩm,sản,thị,trường",Launch sản phẩm ở thị trường mới,legal_contracts/04_compliance_checklist.skill.md
legal_contracts/01_contract_review,legal_contracts,Contract Review,Medium,R2,"Discovery, Review","contract,contracts,language,legal,legal_contracts,legalistic,plain,request,review",| Too legalistic | Request plain language |,legal_contracts/01_contract_review.skill.md
