industry,task_pattern,skill_chain,rationale
Gaming,leaderboard|ranking|score,product_ux/ui_style_selection|product_ux/color_palette_generator|web_development/06_chart_data_visualization|web_development/09_css_animation_performance,Leaderboard cần exciting + animated + data visualization
Gaming,store|shop|marketplace,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|web_development/09_css_animation_performance,Game store cần immersive + smooth animation + engaging interaction
Gaming,profile|avatar|character,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/dark_light_mode_audit|web_development/09_css_animation_performance,Game profile cần dark-mode-first + animated + personalized
Travel,booking|reservation|hotel,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|marketing_seo/conversion_landing_optimizer|app_development/ui_pre_delivery_checklist,Travel booking cần trust + urgency + conversion optimization
Travel,itinerary|trip|plan,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|app_development/mobile_framework_ui_guide,Trip planning cần intuitive interaction + mobile-friendly + visual
Travel,review|experience|destination,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|web_development/07_landing_page_pattern,Travel reviews cần authentic + readable + image-rich layout
Media,article|news|blog,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/typography_pairing|product_ux/dark_light_mode_audit|web_development/08_web_aria_keyboard_audit,News/blog cần readable typography + dark mode + accessible
Media,video|streaming|content,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/dark_light_mode_audit|web_development/10_react_performance_audit|web_development/09_css_animation_performance,Streaming cần dark-first + performance + smooth transitions
Media,podcast|audio|music,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|product_ux/dark_light_mode_audit,Audio app cần immersive + dark mode + smooth controls
Generic,landing page|homepage|hero,web_development/07_landing_page_pattern|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|marketing_seo/conversion_landing_optimizer|app_development/ui_pre_delivery_checklist,Landing page cần pattern selection + style + conversion optimization
Generic,mobile app|ios|android,app_development/industry_ui_reasoning|app_development/mobile_framework_ui_guide|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/interaction_design_review|app_development/ui_pre_delivery_checklist,Mobile app cần framework guidance + platform conventions + pre-delivery
Generic,redesign|refresh|overhaul,product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|product_ux/design_system_generator|product_ux/interaction_design_review|product_ux/dark_light_mode_audit|app_development/ui_pre_delivery_checklist,Redesign cần complete style refresh + design system + quality check
Generic,audit|review|check,product_ux/interaction_design_review|product_ux/dark_light_mode_audit|web_development/08_web_aria_keyboard_audit|web_development/11_icon_system_review|app_development/ui_pre_delivery_checklist,UI audit cần multi-dimension review: interaction + a11y + dark mode + icons
Generic,new project|startup|mvp,app_development/industry_ui_reasoning|product_ux/ui_style_selection|product_ux/color_palette_generator|product_ux/typography_pairing|product_ux/design_system_generator|web_development/07_landing_page_pattern|app_development/ui_pre_delivery_checklist,New project cần full design setup: industry reasoning → style → design system → landing
