rank,name,owner,repo,stars,updatedAt,categories,matched_query,cvf_domain,source,score
28,setup-timescaledb-hypertables,timescale,,1504,2026-02-03T14:18:56+00:00,,database schema,app_development,https://github.com/timescale/pg-aiguide/tree/main/skills/setup-timescaledb-hypertables,1786.47
29,content-research-writer,sonofmagic,,1741,2025-12-29T15:33:29+00:00,,content writing,content_creation,https://github.com/sonofmagic/weapp-tailwindcss/tree/main/.codex/skills/content-research-writer,1785.52
30,convex-backend,CloudAI-X,,1235,2026-01-16T23:30:21+00:00,,database schema,app_development,https://github.com/CloudAI-X/claude-workflow-v2/tree/main/skills/convex-backend,1474.44
31,supabase-postgres-best-practices,supabase,,1105,2026-01-27T21:38:29+00:00,,database schema,app_development,https://github.com/supabase/agent-skills/tree/main/skills/supabase-postgres-best-practices,1326.67
32,performance-optimization,FarhanAliRaza,,1041,2025-12-26T19:49:57+00:00,,api design,app_development,https://github.com/FarhanAliRaza/django-bolt/tree/master/.claude/performance-optimization,1248.03
33,dynamodb,itsmostafa,,989,2026-01-19T09:09:06+00:00,,database schema,app_development,https://github.com/itsmostafa/aws-agent-skills/tree/main/skills/dynamodb,1191.86
34,spec-workflow,TencentCloudBase,,949,2026-01-15T07:35:58+00:00,,software architecture,app_development,https://github.com/TencentCloudBase/CloudBase-MCP/tree/main/config/.claude/skills/spec-workflow,1145.23
35,vercel-react-native-skills,databuddy-analytics,,910,2026-01-29T16:14:04+00:00,,mobile app,app_development,https://github.com/databuddy-analytics/Databuddy/tree/main/.agents/skills/vercel-react-native-skills,1102.58
36,vercel-composition-patterns,inkeep,,905,2026-02-06T10:25:38+00:00,,api design,app_development,https://github.com/inkeep/agents/tree/main/.agents/skills/vercel-composition-patterns,1098.09
37,validate-with-database,pgschema,,754,2026-01-15T03:51:42+00:00,,database schema,app_development,https://github.com/pgschema/pgschema/tree/main/.claude/skills/validate_db,920.98
38,database-design,skillcreatorai,,744,2026-01-16T04:11:19+00:00,,database schema,app_development,https://github.com/skillcreatorai/Ai-Agent-Skills/tree/main/skills/database-design,909.63
39,smart-docs,sopaco,,712,2025-11-12T03:41:37+00:00,,software architecture,app_development,https://github.com/sopaco/deepwiki-rs/tree/main/skills/smart-docs,862.59
40,content-research-writer,Prat011,,810,2025-12-25T12:51:50+00:00,,content writing,content_creation,https://github.com/Prat011/awesome-llm-skills/tree/master/content-research-writer,853.97
41,jwt-auth,dadbodgeoff,,670,2026-01-22T22:37:28+00:00,,mobile app,app_development,https://github.com/dadbodgeoff/drift/tree/main/skills/jwt-auth,825.64
42,moai-domain-backend,modu-ai,,659,2026-02-02T06:03:19+00:00,,api design,app_development,https://github.com/modu-ai/moai-adk/tree/main/.claude/skills/moai-domain-backend,814.56
43,chief-architect,ananddtyagi,,637,2026-01-18T17:50:15+00:00,,app development,app_development,https://github.com/ananddtyagi/cc-marketplace/tree/main/plugins/claude-dev-infrastructure/skills/chief-architect,786.9
44,testing,LedgerHQ,,567,2026-01-28T13:57:08+00:00,,mobile app,app_development,https://github.com/LedgerHQ/ledger-live/tree/develop/.cursor/skills/testing,707.97
45,business-plan,openclaw,,652,2026-02-06T10:33:26+00:00,,business analysis,business_analysis,https://github.com/openclaw/skills/tree/main/skills/jk-0001/business-plan,701.86
46,design-doc-interviewer,liveloveapp,,598,2026-01-26T01:37:06+00:00,,product ux,product_ux,https://github.com/liveloveapp/hashbrown/tree/main/.codex/skills/design-doc-interviewer,646.36
47,it-role-expert,krafton-ai,,585,2026-01-14T05:56:52+00:00,,hr operations,hr_operations,https://github.com/krafton-ai/KIRA/tree/main/.claude/skills/it-role-expert,631.71
48,mermaid-diagrams,softaworks,,475,2026-02-01T11:28:11+00:00,,software architecture,app_development,https://github.com/softaworks/agent-toolkit/tree/main/dist/plugins/mermaid-diagrams/skills/mermaid-diagrams,602.8
49,promptfoo-evaluation,daymade,,554,2026-01-15T15:36:18+00:00,,prompt evaluation,ai_ml_evaluation,https://github.com/daymade/claude-code-skills/tree/main/promptfoo-evaluation,600.85
50,standards-responsive,maxritter,,438,2026-02-06T03:32:33+00:00,,mobile app,app_development,https://github.com/maxritter/claude-pilot/tree/main/pilot/skills/standards-responsive,561.04
51,onchainkit,BankrBot,,428,2026-01-29T05:16:15+00:00,,app development,app_development,https://github.com/BankrBot/openclaw-skills/tree/main/onchainkit,548.28
52,agent-device,callstackincubator,,421,2026-02-06T11:44:26+00:00,,mobile app,app_development,https://github.com/callstackincubator/agent-device/tree/main/skills/agent-device,541.49
53,software-architecture,NeoLabHQ,,399,2026-01-08T15:04:03+00:00,,software architecture,app_development,https://github.com/NeoLabHQ/context-engineering-kit/tree/master/plugins/ddd/skills/software-architecture,511.62
54,slash-command-factory,alirezarezvani,,468,2025-11-12T15:30:27+00:00,,business analysis,business_analysis,https://github.com/alirezarezvani/claude-code-skill-factory/tree/dev/generated-skills/slash-command-factory,506.08
55,spec-workflow,TencentCloudBase,,340,2025-12-08T13:05:43+00:00,,software architecture,app_development,https://github.com/TencentCloudBase/awesome-cloudbase-examples/tree/master/miniprogram/cloudbase-ai-video/.codebuddy/skills/spec-workflow,438.89
56,frontend-responsive-design-standards,am-will,,328,2026-01-16T22:41:25+00:00,,mobile app,app_development,https://github.com/am-will/codex-skills/tree/main/skills/frontend-responsive-ui,431.39
57,azure-devops-rest-api,Tiberriver256,,325,2025-11-19T01:11:07+00:00,,devops,app_development,https://github.com/Tiberriver256/mcp-server-azure-devops/tree/main/.github/skills/azure-devops-rest-api,418.65
58,solid,ramziddin,,312,2026-01-22T17:28:50+00:00,,software architecture,app_development,https://github.com/ramziddin/solid-skills/tree/main/skills/solid,413.78
59,screenshot-analyzer,notedit,,298,2026-01-25T12:43:49+00:00,,app development,app_development,https://github.com/notedit/happy-skills/tree/main/skills/screenshot-analyzer,398.15
60,free-tool-strategy,TheCraigHewitt,,325,2026-02-02T19:21:54+00:00,,marketing seo,marketing_seo,https://github.com/TheCraigHewitt/seomachine/tree/main/.claude/skills/free-tool-strategy,374.45
61,prompt-engineer,Jeffallan,,306,2026-02-02T15:25:32+00:00,,prompt evaluation,ai_ml_evaluation,https://github.com/Jeffallan/claude-skills/tree/main/skills/prompt-engineer,355.32
62,senior-data-scientist,benchflow-ai,,303,2026-01-27T06:24:43+00:00,,ai evaluation,ai_ml_evaluation,https://github.com/benchflow-ai/skillsbench/tree/main/tasks-no-skills/powerlifting-coef-calc/environment/skills/senior-data-scientist,351.49
63,devops-troubleshooter,rmyndharis,,243,2026-01-18T08:15:11+00:00,,devops,app_development,https://github.com/rmyndharis/antigravity-skills/tree/main/skills/devops-troubleshooter,333.8
64,finance-manager,ailabs-393,,294,2025-11-11T07:22:14+00:00,,finance analysis,finance_analytics,https://github.com/ailabs-393/ai-labs-claude-skills/tree/main/dist/skills/finance-manager,331.95
65,playwright-ci-caching,Aaronontheweb,,231,2026-02-05T17:33:26+00:00,,devops,app_development,https://github.com/Aaronontheweb/dotnet-skills/tree/master/skills/playwright-ci-caching,322.83
66,montecarlo,AojdevStudio,,269,2026-01-16T15:11:12+00:00,,finance analysis,finance_analytics,https://github.com/AojdevStudio/Finance-Guru/tree/main/.claude/skills/MonteCarlo,315.99
67,business-analyst,aj-geddes,,236,2026-01-01T14:04:13+00:00,,business analysis,business_analysis,https://github.com/aj-geddes/claude-code-bmad-skills/tree/main/bmad-skills/business-analyst,280.93
68,engineering-standards,groupzer0,,180,2026-01-15T11:18:00+00:00,,software architecture,app_development,https://github.com/groupzer0/vs-code-agents/tree/main/vs-code-agents/skills/engineering-standards,260.88
69,risk-analysis,Prorise-cool,,206,2026-01-19T01:20:42+00:00,,business analysis,business_analysis,https://github.com/Prorise-cool/Claude-Code-Multi-Agent/tree/master/.claude/skills/business-analysis/risk-analysis,253.4
70,architecture-paradigm-microservices,athola,,166,2026-02-01T17:41:11+00:00,,devops,app_development,https://github.com/athola/claude-night-market/tree/master/plugins/archetypes/skills/architecture-paradigm-microservices,247.45
71,dynamic,popup-studio-ai,,165,2026-02-06T08:03:11+00:00,,app development,app_development,https://github.com/popup-studio-ai/bkit-claude-code/tree/main/skills/dynamic,247.09
72,sysadmin-toolbox,jdrhyne,,165,2026-01-26T00:10:32+00:00,,devops,app_development,https://github.com/jdrhyne/agent-skills/tree/main/skills/sysadmin-toolbox,245.36
73,setup-tools,Chachamaru127,,163,2026-02-04T13:56:11+00:00,,app development,app_development,https://github.com/Chachamaru127/claude-code-harness/tree/main/codex/.codex/skills/setup-tools,244.48
74,software-design-review,atilladeniz,,158,2026-01-27T19:39:37+00:00,,software architecture,app_development,https://github.com/atilladeniz/Kubeli/tree/main/.claude/skills/software-design-review,237.62
75,designing-architecture,CloudAI-X,,154,2026-01-10T13:51:18+00:00,,software architecture,app_development,https://github.com/CloudAI-X/opencode-workflow/tree/main/skills/designing-architecture,230.19
76,analyzing-data,astronomer,,180,2026-01-29T19:13:39+00:00,,business analysis,business_analysis,https://github.com/astronomer/agents/tree/main/skills/analyzing-data,228.9
77,knowledge-capture,rsmdt,,178,2026-01-10T19:37:37+00:00,,business analysis,business_analysis,https://github.com/rsmdt/the-startup/tree/main/plugins/start/skills/knowledge-capture,224.3
78,free-tool-strategy,first-fluke,,172,2026-02-04T01:53:25+00:00,,marketing seo,marketing_seo,https://github.com/first-fluke/fullstack-starter/tree/main/.agents/skills/free-tool-strategy,221.59
79,gitlab,refly-ai,,143,2026-02-01T04:14:54+00:00,,devops,app_development,https://github.com/refly-ai/refly-skills/tree/main/skills/gitlab,221.0
80,ai-product-patterns,menkesu,,141,2026-01-29T09:41:07+00:00,,product ux,product_ux,https://github.com/menkesu/awesome-pm-skills/tree/main/ai-product-patterns,189.77
81,ml-paper-writing,Galaxy-Dawn,,125,2026-01-27T11:27:39+00:00,,ai evaluation,ai_ml_evaluation,https://github.com/Galaxy-Dawn/claude-scholar/tree/main/skills/ml-paper-writing,173.49
82,building-with-google-adk,panaversity,,120,2026-01-15T21:48:29+00:00,,ai evaluation,ai_ml_evaluation,https://github.com/panaversity/agentfactory/tree/main/docs/_skills_archive/rare/building-with-google-adk,166.99
83,pest-analysis,flpbalada,,117,2026-01-28T21:09:58+00:00,,business analysis,business_analysis,https://github.com/flpbalada/my-opencode-config/tree/main/skills/pest-analysis,165.77
84,marketing-demand-acquisition,ynulihao,,115,2026-01-25T17:40:14+00:00,,marketing seo,marketing_seo,https://github.com/ynulihao/AgentSkillOS/tree/main/data/skill_seeds/marketing-demand-acquisition,163.22
85,behavioral-product-design,RefoundAI,,100,2026-01-31T02:13:03+00:00,,product ux,product_ux,https://github.com/RefoundAI/lenny-skills/tree/main/skills/behavioral-product-design,149.04
86,using-finance-team,LerianStudio,,93,2026-01-14T06:10:38+00:00,,finance analysis,finance_analytics,https://github.com/LerianStudio/ring/tree/main/.archive/finance-team/skills/using-finance-team,139.71
87,business-competitor-analysis,kenneth-liao,,88,2026-01-09T01:29:00+00:00,,business analysis,business_analysis,https://github.com/kenneth-liao/ai-launchpad-marketplace/tree/main/research/skills/business-competitor-analysis,134.03
88,aws-strands-agents-agentcore,sammcj,,81,2026-02-05T04:39:16+00:00,,ai evaluation,ai_ml_evaluation,https://github.com/sammcj/agentic-coding/tree/main/Skills/aws-strands-agents-agentcore,130.73
89,karen-repo-reviewer,pr-pm,,86,2025-11-23T19:27:03+00:00,,ai evaluation,ai_ml_evaluation,https://github.com/pr-pm/prpm/tree/main/.claude/skills/karen-repo-reviewer,125.73
90,strategy-writer,rileyhilliard,,76,2026-02-05T05:51:16+00:00,,business analysis,business_analysis,https://github.com/rileyhilliard/claude-essentials/tree/main/plugins/ce/skills/strategy-writer,125.73
91,word,IgorWarzocha,,76,2026-01-25T14:18:36+00:00,,legal contract,legal_contracts,https://github.com/IgorWarzocha/Opencode-Workflows/tree/master/cowork/.opencode/skill/word,124.22
92,service-analysis,WenJunDuan,,70,2026-01-30T03:16:21+00:00,,business analysis,business_analysis,https://github.com/WenJunDuan/Rlues/tree/main/vibeCoding/codex/config-agent_v7.8-codex/.codex/skills/service-analysis,118.9
93,excel-report-generator,wwwzhouhui,,75,2025-11-12T09:50:46+00:00,,business analysis,business_analysis,https://github.com/wwwzhouhui/skills_collection/tree/main/excel-report-generator,113.08
94,hooked-ux,wondelai,,61,2026-02-02T12:44:15+00:00,,product ux,product_ux,https://github.com/wondelai/skills/tree/main/hooked-ux,110.32
95,data-analysis,JinFanZheng,,53,2026-01-17T12:43:40+00:00,,business analysis,business_analysis,https://github.com/JinFanZheng/kode-sdk-csharp/tree/main/examples/Kode.Agent.WebApiAssistant/skills/data-analysis,100.12
96,learning-assessor,partme-ai,,51,2026-01-26T13:56:17+00:00,,ai evaluation,ai_ml_evaluation,https://github.com/partme-ai/full-stack-skills/tree/main/skills/learning-assessor,99.36
97,legal-simulation-patrick-munro,lawvable,,50,2026-01-30T10:29:58+00:00,,legal contract,legal_contracts,https://github.com/lawvable/awesome-legal-skills/tree/main/🌐/legal-simulation-patrick-munro,98.9
98,ux-writing,content-designer,,52,2026-01-08T11:41:43+00:00,,product ux,product_ux,https://github.com/content-designer/ux-writing-skill,97.89
99,ai-tool-designer,nityeshaga,,49,2026-01-14T22:15:09+00:00,,ai evaluation,ai_ml_evaluation,https://github.com/nityeshaga/claude-code-essentials/tree/main/plugins/basics/skills/ai-tool-designer,95.85
100,llm-evaluation,applied-artificial-intelligence,,36,2026-01-14T12:36:10+00:00,,prompt evaluation,ai_ml_evaluation,https://github.com/applied-artificial-intelligence/claude-code-toolkit/tree/main/skills/llm-evaluation,82.71
