industry,task_pattern,skill_chain,rationale
SaaS,onboarding|setup|wizard,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|marketing_seo/conversion_landing_optimizer,Onboarding flow cần engaging + low friction + conversion optimization
SaaS,pricing|subscription|plan,product_ux/cvf_web_ux_redesign_system|marketing_seo/conversion_landing_optimizer|web_development/07_landing_page_pattern,Pricing page cần clear + trustworthy + conversion-focused
SaaS,documentation|help|knowledge base,product_ux/cvf_web_ux_redesign_system|product_ux/accessibility_audit,Docs cần readable typography + accessible + dark mode support
SaaS,analytics|reporting|bi,product_ux/cvf_web_ux_redesign_system|web_development/06_chart_data_visualization|web_development/10_react_performance_audit,Analytics/BI cần data-dense layout + chart types + performance
Education,lms|course|learning,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation,LMS cần engaging + readable + clear progression UI
Education,quiz|exam|assessment,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|product_ux/accessibility_audit,Quiz UI cần accessible + clear feedback + keyboard navigable
Education,student portal|enrollment,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern|marketing_seo/conversion_landing_optimizer,Student portal cần inviting + conversion-optimized enrollment
Education,tutoring|video|classroom,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation,Video classroom cần responsive + smooth interaction + mobile support
Beauty,salon|spa|booking,product_ux/cvf_web_ux_redesign_system|marketing_seo/product_page_style_matcher,Beauty/spa cần premium + calming + style-matched
Beauty,cosmetic|skincare|makeup,product_ux/cvf_web_ux_redesign_system|marketing_seo/product_page_style_matcher|marketing_seo/conversion_landing_optimizer,Cosmetics cần visual-heavy + brand-aligned + conversion-optimized
Beauty,portfolio|stylist|artist,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern,Portfolio cần visual-first + personal brand + elegant layout
Food,restaurant|menu|dining,product_ux/cvf_web_ux_redesign_system|marketing_seo/product_page_style_matcher,Restaurant cần warm colors + food photography focus + readable menu
Food,recipe|cooking|meal plan,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern,Recipe app cần warm + readable + step-by-step layout
Food,cafe|coffee|bakery,product_ux/cvf_web_ux_redesign_system|marketing_seo/product_page_style_matcher,Cafe/coffee cần artisan + warm + cozy branding
RealEstate,listing|property|house,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern|marketing_seo/conversion_landing_optimizer,Property listing cần trust + image-heavy + search-focused
RealEstate,virtual tour|3d,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|web_development/10_react_performance_audit,Virtual tour cần smooth interaction + performance + immersive
RealEstate,agent|broker|portfolio,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern|marketing_seo/product_page_style_matcher,Agent portfolio cần professional + trust + personal branding
Gaming,leaderboard|ranking|score,product_ux/cvf_web_ux_redesign_system|web_development/06_chart_data_visualization|web_development/09_css_animation_performance,Leaderboard cần exciting + animated + data visualization
Gaming,store|shop|marketplace,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|web_development/09_css_animation_performance,Game store cần immersive + smooth animation + engaging interaction
Gaming,profile|avatar|character,product_ux/cvf_web_ux_redesign_system|product_ux/accessibility_audit|web_development/09_css_animation_performance,Game profile cần dark-mode-first + animated + personalized
Travel,booking|reservation|hotel,product_ux/cvf_web_ux_redesign_system|marketing_seo/conversion_landing_optimizer|product_ux/ux_heuristic_evaluation,Travel booking cần trust + urgency + conversion optimization
Travel,itinerary|trip|plan,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation,Trip planning cần intuitive interaction + mobile-friendly + visual
Travel,review|experience|destination,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern,Travel reviews cần authentic + readable + image-rich layout
Media,article|news|blog,product_ux/cvf_web_ux_redesign_system|product_ux/accessibility_audit,News/blog cần readable typography + dark mode + accessible
Media,video|streaming|content,product_ux/cvf_web_ux_redesign_system|product_ux/accessibility_audit|web_development/10_react_performance_audit|web_development/09_css_animation_performance,Streaming cần dark-first + performance + smooth transitions
Media,podcast|audio|music,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|product_ux/accessibility_audit,Audio app cần immersive + dark mode + smooth controls
Generic,landing page|homepage|hero,web_development/07_landing_page_pattern|product_ux/cvf_web_ux_redesign_system|marketing_seo/conversion_landing_optimizer|product_ux/ux_heuristic_evaluation,Landing page cần pattern selection + style + conversion optimization
Generic,mobile app|ios|android,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation,Mobile app cần framework guidance + platform conventions + pre-delivery
Generic,redesign|refresh|overhaul,product_ux/cvf_web_ux_redesign_system|product_ux/ux_heuristic_evaluation|product_ux/accessibility_audit,Redesign cần complete style refresh + design system + quality check
Generic,audit|review|check,product_ux/ux_heuristic_evaluation|product_ux/accessibility_audit,UI audit cần multi-dimension review: interaction + a11y + dark mode + icons
Generic,new project|startup|mvp,product_ux/cvf_web_ux_redesign_system|web_development/07_landing_page_pattern|product_ux/ux_heuristic_evaluation,New project cần full design setup: industry reasoning → style → design system → landing
